,design,predictor,sample_type,sample_size,train_size,folds,dim,lambd,mean_precision,mean_recall,mean_fscore,mean_auprc,mean_size_err,median_precision,median_recall,median_fscore,median_auprc,median_size_err
29,vga,random,solver,0.2,,1000000000000.0,,,0.3447215177984408,0.2530780693858892,0.2478762175096189,0.3537506383033681,0.9014702015076684,0.26666666666666666,0.25,0.2575066058131155,0.3188491701500071,0.5689655172413793
30,vga,suspect2vec,solver,0.2,,1000000000000.0,20.0,0.0,0.801381373,0.5998051999999999,0.643885157,0.7487166540000001,0.424727943,0.883962475,0.561755497,0.638053428,0.77810516,0.4212299
31,wb_dma,DATE,solver,0.2,,1000000000000.0,,,0.851063652,0.418750135,0.547844959,0.717497067,0.495434835,0.994475138,0.401523395,0.565217391,0.771171666,0.533613445
32,wb_dma,random,solver,0.2,,1000000000000.0,,,0.3438018501406299,0.2735445128068324,0.2495425241805884,0.3874830780110721,1.3954663332908182,0.2827225130890053,0.2734082397003745,0.2844444444444445,0.3571319133027447,0.6820512820512821
33,wb_dma,suspect2vec,solver,0.2,,1000000000000.0,20.0,0.0,0.803054292,0.639392109,0.67466479,0.754259907,0.572014766,0.9,0.628865979,0.6872998929999999,0.772274683,0.272727273
34,ethernet,DATE,solver,0.3,,1000000000000.0,,,0.876257967,0.61087,0.6851435920000001,0.8996271090000001,0.423329209,1.0,0.543858744,0.6785714290000001,0.963320975,0.469197281
35,ethernet,random,solver,0.3,,1000000000000.0,,,0.4031181693989071,0.33933805415190604,0.3103438810479967,0.4282767113008073,1.23744494775373,0.35,0.3333333333333333,0.3363616884508249,0.40335391372523294,0.4760452961672474
36,ethernet,suspect2vec,solver,0.3,,1000000000000.0,20.0,0.0,0.920810685,0.826464043,0.853615515,0.917595105,0.358795014,0.981155276,0.867295597,0.883866134,0.985184014,0.114149306
37,fdct,DATE,solver,0.3,,1000000000000.0,,,0.9616248055857648,0.7208427828241935,0.8151660826964012,0.8667311291001936,0.27165043154344576,1.0,0.7019138755980862,0.7944636678200693,0.9088291316526612,0.2784237726098191
38,fdct,random,solver,0.3,,1000000000000.0,,,0.44811817956349215,0.3405734807491527,0.3474275274048842,0.4303101463878761,0.6064779579737701,0.36222718253968256,0.3352713178294573,0.3680942321234236,0.4323673484748987,0.4883720930232558
39,fdct,suspect2vec,solver,0.3,,1000000000000.0,20.0,0.0,0.9433713082154632,0.7780475382028335,0.8386893156485862,0.8760641932745956,0.2198438671608121,0.9900639449090014,0.8411411411411411,0.8514015535292131,0.9393671044330862,0.17080103359173127
