,experiment,runtime,finished,R,speedup
715,designs/wb_dma/random_bug_3/fail_1_multipass_opt,869.66,1,5.63050722944,0.0815937836884
716,designs/wb_dma/random_bug_3/fail_1_multipass_v2,786.69,1,5.78198749136,0.0738093205274
717,designs/wb_dma/random_bug_5/fail_0,1129.43,1,2.26796446181,0.516773886545
718,designs/wb_dma/random_bug_5/fail_0_1pass,2185.54,1,1.0,1.0
719,designs/wb_dma/random_bug_5/fail_0_multipass_DATE,671.33,1,3.55579455123,0.307168937654
720,designs/wb_dma/random_bug_5/fail_0_multipass_opt,773.96,1,3.91725492976,0.354127584029
721,designs/wb_dma/random_bug_5/fail_0_multipass_v2,584.43,1,5.22905883473,0.267407597207
722,designs/wb_dma/random_bug_6/fail_0,1182.27,1,2.85593884176,0.518264429842
723,designs/wb_dma/random_bug_6/fail_0_1pass,2281.21,1,1.0,1.0
724,designs/wb_dma/random_bug_6/fail_0_multipass_DATE,667.63,1,5.43678881068,0.292664857685
725,designs/wb_dma/random_bug_6/fail_0_multipass_opt,876.91,1,4.35453162913,0.384405644373
726,designs/wb_dma/random_bug_6/fail_0_multipass_v2,618.19,1,6.8044163578,0.270992148903
727,designs/wb_dma/random_bug_7/fail_0,3769.52,1,1.65486910379,0.355150718023
728,designs/wb_dma/random_bug_7/fail_0_1pass,10613.86,0,1.0,1.0
729,designs/wb_dma/random_bug_7/fail_0_multipass_DATE,1494.17,1,7.68940745096,0.140775363534
730,designs/wb_dma/random_bug_7/fail_0_multipass_opt,1761.95,1,6.00281468976,0.166004639217
731,designs/wb_dma/random_bug_7/fail_0_multipass_v2,1605.01,1,7.27284253824,0.151218312659
732,designs/wb_dma/random_bug_8/fail_0,6365.0,1,3.0482729109,0.635078060223
733,designs/wb_dma/random_bug_8/fail_0_1pass,10022.39,0,1.0,1.0
734,designs/wb_dma/random_bug_8/fail_0_multipass_DATE,3008.25,1,4.44669901858,0.300152957528
735,designs/wb_dma/random_bug_8/fail_0_multipass_opt,4669.58,1,3.62186550276,0.465914816725
736,designs/wb_dma/random_bug_8/fail_0_multipass_v2,3584.83,1,3.84310638553,0.357682149667
